"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
Shawnee,"10,397,869","10,561,918","10,886,577","11,120,208",4,1.6,3.1,2.1,20
Sheridan,"97,848","137,264","141,607","98,424",96,40.3,3.2,-30.5,101
Sherman,"272,751","295,260","318,041","312,125",51,8.3,7.7,-1.9,41
Smith,"156,172","172,622","192,754","125,507",88,10.5,11.7,-34.9,103
Stafford,"163,678","172,276","172,778","121,139",89,5.3,0.3,-29.9,100
Stanton,"191,215","198,148","203,685","202,953",68,3.6,2.8,-0.4,36
Stevens,"282,520","307,229","344,627","278,293",55,8.7,12.2,-19.2,92
Sumner,"730,887","695,651","718,850","672,118",28,-4.8,3.3,-6.5,56
Thomas,"501,655","561,862","595,867","602,163",35,12.0,6.1,1.1,27
Trego,"157,518","158,354","162,687","145,488",81,0.5,2.7,-10.6,73
Wabaunsee,"146,450","142,864","147,926","140,492",85,-2.4,3.5,-5.0,51
Wallace,"88,322","95,342","94,043","81,758",101,7.9,-1.4,-13.1,79
Washington,"209,654","228,649","228,803","181,214",74,9.1,0.1,-20.8,94
Wichita,"206,794","193,513","196,454","200,653",69,-6.4,1.5,2.1,21
Wilson,"322,999","300,955","318,525","300,004",52,-6.8,5.8,-5.8,55
Woodson,"74,978","74,852","76,019","71,600",102,-0.2,1.6,-5.8,54
Wyandotte,"11,528,112","11,304,886","11,307,547","11,381,425",3,-1.9,0.0,0.7,30
,,,,,,,,,
Kentucky,"211,739,686","206,288,782","214,565,067","217,568,064",--,-2.6,4.0,1.4,--
Adair,"376,520","378,892","383,758","387,875",70,0.6,1.3,1.1,57
Allen,"476,496","439,591","462,813","501,379",61,-7.7,5.3,8.3,8
Anderson,"561,160","545,140","565,617","592,452",56,-2.9,3.8,4.7,20
Ballard,"212,425","215,393","245,219","241,204",91,1.4,13.8,-1.6,89
Barren,"1,448,156","1,377,158","1,397,031","1,373,614",29,-4.9,1.4,-1.7,91
Bath,"207,131","193,766","191,058","191,114",99,-6.5,-1.4,0.0,69
Bell,"752,269","709,082","731,038","736,844",50,-5.7,3.1,0.8,59
Boone,"11,919,911","11,914,111","12,588,421","12,487,129",3,0.0,5.7,-0.8,80
Bourbon,"956,209","880,117","877,952","888,977",42,-8.0,-0.2,1.3,54
Boyd,"3,432,163","2,767,388","2,925,887","2,677,107",15,-19.4,5.7,-8.5,118
Boyle,"1,252,340","1,195,245","1,235,169","1,259,016",31,-4.6,3.3,1.9,44
Bracken,"156,487","154,792","163,909","158,892",111,-1.1,5.9,-3.1,102
Breathitt,"228,372","205,841","206,415","208,347",96,-9.9,0.3,0.9,58
Breckinridge,"393,641","374,653","408,267","389,720",68,-4.8,9.0,-4.5,110
Bullitt,"2,528,604","2,536,921","2,732,030","2,835,527",14,0.3,7.7,3.8,24
Butler,"304,501","294,195","304,976","300,968",84,-3.4,3.7,-1.3,83
Caldwell,"390,065","386,936","422,092","423,288",64,-0.8,9.1,0.3,64
Calloway,"1,455,474","1,410,822","1,424,034","1,395,496",28,-3.1,0.9,-2.0,96
Campbell,"3,468,181","3,367,409","3,530,601","3,574,511",11,-2.9,4.8,1.2,55
Carlisle,"166,024","159,594","183,501","179,930",105,-3.9,15.0,-1.9,95
Carroll,"2,067,829","1,822,214","1,894,374","1,959,178",21,-11.9,4.0,3.4,26
Carter,"492,472","494,461","489,372","496,913",62,0.4,-1.0,1.5,49
Casey,"328,782","345,607","344,283","333,480",77,5.1,-0.4,-3.1,103
Christian,"5,769,579","5,845,841","6,003,910","5,863,865",6,1.3,2.7,-2.3,99
Clark,"1,560,879","1,497,131","1,524,142","1,554,628",27,-4.1,1.8,2.0,43
Clay,"345,495","355,765","353,985","348,105",75,3.0,-0.5,-1.7,90
Clinton,"330,110","336,194","339,794","349,851",73,1.8,1.1,3.0,30
Crittenden,"178,709","169,572","185,482","175,006",107,-5.1,9.4,-5.6,114
Cumberland,"159,988","165,042","159,485","163,099",109,3.2,-3.4,2.3,38
Daviess,"4,677,584","4,623,651","4,599,632","4,529,411",9,-1.2,-0.5,-1.5,85
Edmonson,"183,687","181,288","184,378","185,100",102,-1.3,1.7,0.4,63
Elliott,"81,490","77,405","74,866","80,294",118,-5.0,-3.3,7.2,11
Estill,"218,927","211,717","208,708","212,300",95,-3.3,-1.4,1.7,47
Fayette,"20,570,897","19,855,647","20,654,079","21,209,754",2,-3.5,4.0,2.7,33
Fleming,"312,870","318,876","320,944","312,849",82,1.9,0.6,-2.5,100
Floyd,"1,125,158","1,027,176","1,081,480","1,115,923",35,-8.7,5.3,3.2,27
Franklin,"3,099,335","3,076,775","3,173,545","3,337,094",12,-0.7,3.1,5.2,18
Fulton,"197,390","185,773","210,359","201,766",97,-5.9,13.2,-4.1,108
Gallatin,"342,087","347,736","350,125","358,902",72,1.7,0.7,2.5,36
Garrard,"265,537","253,507","254,237","258,783",87,-4.5,0.3,1.8,46
Grant,"523,045","502,610","562,826","563,507",57,-3.9,12.0,0.1,68
Graves,"1,214,306","1,186,436","1,250,559","1,324,617",30,-2.3,5.4,5.9,13
Grayson,"732,507","713,403","730,829","730,243",51,-2.6,2.4,-0.1,71
Green,"164,635","175,831","173,339","159,719",110,6.8,-1.4,-7.9,116
Greenup,"927,712","794,636","796,813","768,065",48,-14.3,0.3,-3.6,106
Hancock,"796,558","780,454","783,988","827,180",44,-2.0,0.5,5.5,16
Hardin,"5,282,845","5,193,092","5,444,660","5,566,918",7,-1.7,4.8,2.2,39
Harlan,"525,151","473,608","496,123","557,542",59,-9.8,4.8,12.4,3
Harrison,"530,757","501,499","535,094","528,599",60,-5.5,6.7,-1.2,82
Hart,"589,026","559,966","572,695","559,944",58,-4.9,2.3,-2.2,98
Henderson,"2,001,873","1,952,564","1,997,129","1,994,337",19,-2.5,2.3,-0.1,72
Henry,"338,548","312,731","323,680","324,432",80,-7.6,3.5,0.2,65
Hickman,"168,977","137,229","167,958","183,015",104,-18.8,22.4,9.0,7
Hopkins,"1,797,953","1,696,850","1,797,360","1,902,259",23,-5.6,5.9,5.8,14
Jackson,"165,220","166,724","159,640","164,146",108,0.9,-4.2,2.8,31
Jefferson,"57,321,878","56,347,937","58,631,608","59,529,847",1,-1.7,4.1,1.5,50
Jessamine,"2,060,948","2,074,597","2,042,712","2,047,343",18,0.7,-1.5,0.2,66
Johnson,"455,156","425,395","426,708","431,715",63,-6.5,0.3,1.2,56
Kenton,"8,655,484","8,957,085","9,452,970","9,574,067",4,3.5,5.5,1.3,53
Knott,"217,022","213,952","200,325","198,290",98,-1.4,-6.4,-1.0,81
Knox,"633,410","605,194","616,157","618,978",55,-4.5,1.8,0.5,62
Larue,"228,462","228,157","244,720","215,651",94,-0.1,7.3,-11.9,119
Laurel,"2,143,365","2,154,785","2,199,953","2,215,698",16,0.5,2.1,0.7,60
Lawrence,"353,225","352,256","346,069","338,728",76,-0.3,-1.8,-2.1,97
Lee,"127,161","124,867","120,832","118,993",114,-1.8,-3.2,-1.5,84
Leslie,"163,890","149,921","138,808","143,755",112,-8.5,-7.4,3.6,25
Letcher,"356,836","330,865","357,047","389,631",69,-7.3,7.9,9.1,6
Lewis,"203,386","196,571","198,315","186,308",101,-3.4,0.9,-6.1,115
Lincoln,"419,054","409,538","415,980","415,937",66,-2.3,1.6,0.0,70
Livingston,"276,294","300,651","307,934","307,430",83,8.8,2.4,-0.2,73
Logan,"1,120,649","1,104,960","1,109,797","1,064,153",38,-1.4,0.4,-4.1,109
Lyon,"220,420","221,745","218,315","223,901",93,0.6,-1.5,2.6,34
McCracken,"4,366,936","4,297,994","4,749,034","4,733,470",8,-1.6,10.5,-0.3,75
McCreary,"257,002","262,216","263,866","250,844",90,2.0,0.6,-4.9,112
McLean,"264,486","195,274","228,040","257,976",88,-26.2,16.8,13.1,2
Madison,"3,035,165","2,900,677","3,032,485","3,106,363",13,-4.4,4.5,2.4,37
Magoffin,"162,116","148,711","147,905","143,688",113,-8.3,-0.5,-2.9,101
Marion,"921,460","889,636","925,930","923,442",41,-3.5,4.1,-0.3,74
Marshall,"1,537,127","1,626,280","1,607,175","1,657,667",25,5.8,-1.2,3.1,28
Martin,"235,076","193,631","191,410","184,594",103,-17.6,-1.1,-3.6,104
Mason,"1,070,801","1,073,417","1,148,123","1,171,645",32,0.2,7.0,2.0,42
Meade,"538,061","546,457","632,304","629,559",54,1.6,15.7,-0.4,77
Menifee,"89,964","89,441","90,027","85,749",117,-0.6,0.7,-4.8,111
Mercer,"804,177","752,709","797,986","863,461",43,-6.4,6.0,8.2,9
Metcalfe,"180,586","175,465","191,110","188,163",100,-2.8,8.9,-1.5,87
Monroe,"306,228","300,158","307,865","326,476",79,-2.0,2.6,6.0,12
Montgomery,"1,015,894","972,650","1,015,943","1,072,089",37,-4.3,4.5,5.5,15
Morgan,"263,729","251,029","251,875","253,485",89,-4.8,0.3,0.6,61
Muhlenberg,"1,226,802","1,073,223","1,040,525","1,123,541",34,-12.5,-3.0,8.0,10
Nelson,"1,614,069","1,603,205","1,710,873","1,735,012",24,-0.7,6.7,1.4,52
Nicholas,"97,028","89,007","96,696","88,851",116,-8.3,8.6,-8.1,117
Ohio,"859,538","730,570","781,644","814,518",46,-15.0,7.0,4.2,23
Oldham,"1,956,803","1,806,488","1,930,809","1,974,160",20,-7.7,6.9,2.2,40
Owen,"181,216","169,919","176,337","176,607",106,-6.2,3.8,0.2,67
Owsley,"50,800","48,629","52,230","49,626",119,-4.3,7.4,-5.0,113
Pendleton,"280,867","275,526","289,242","296,608",85,-1.9,5.0,2.5,35
Perry,"942,187","895,596","908,060","948,549",40,-4.9,1.4,4.5,21
Pike,"2,032,041","1,887,284","1,889,831","1,924,074",22,-7.1,0.1,1.8,45
Powell,"226,372","224,618","228,964","225,448",92,-0.8,1.9,-1.5,86
Pulaski,"2,254,618","2,118,197","2,220,083","2,207,694",17,-6.1,4.8,-0.6,79
Robertson,"26,108","26,663","28,338","27,790",120,2.1,6.3,-1.9,94
Rockcastle,"338,213","336,568","331,754","348,474",74,-0.5,-1.4,5.0,19
Rowan,"764,704","722,906","736,875","749,429",49,-5.5,1.9,1.7,48
Russell,"619,595","626,820","623,168","696,562",52,1.2,-0.6,11.8,5
Scott,"3,690,241","3,425,678","3,429,179","3,580,949",10,-7.2,0.1,4.4,22
Shelby,"1,680,052","1,603,919","1,683,943","1,654,144",26,-4.5,5.0,-1.8,92
Simpson,"991,035","934,636","967,469","949,882",39,-5.7,3.5,-1.8,93
Spencer,"283,039","300,537","309,066","313,513",81,6.2,2.8,1.4,51
Taylor,"881,693","878,446","834,954","821,633",45,-0.4,-5.0,-1.6,88
Todd,"337,587","337,996","379,383","391,143",67,0.1,12.2,3.1,29
Trigg,"284,458","264,809","280,408","270,382",86,-6.9,5.9,-3.6,105
Trimble,"512,604","527,364","532,461","637,372",53,2.9,1.0,19.7,1
Union,"682,812","728,364","713,915","799,913",47,6.7,-2.0,12.0,4
Warren,"6,519,081","6,506,302","6,981,126","7,352,178",5,-0.2,7.3,5.3,17
Washington,"325,917","308,545","328,720","327,620",78,-5.3,6.5,-0.3,76
Wayne,"444,490","427,910","436,188","419,934",65,-3.7,1.9,-3.7,107
Webster,"507,699","367,633","444,715","385,441",71,-27.6,21.0,-13.3,120
Whitley,"1,068,609","1,035,280","1,079,309","1,103,467",36,-3.1,4.3,2.2,41
Wolfe,"98,137","103,944","111,677","111,185",115,5.9,7.4,-0.4,78
Woodford,"1,188,364","1,109,612","1,139,695","1,170,602",33,-6.6,2.7,2.7,32
,,,,,,,,,
Louisiana,"246,361,128","228,825,323","234,014,356","231,262,265",--,-7.1,2.3,-1.2,--
Acadia,"1,549,092","1,551,990","1,484,912","1,470,411",29,0.2,-4.3,-1.0,25
Allen,"704,916","696,572","702,034","702,344",43,-1.2,0.8,0.0,19
Ascension,"8,905,634","8,044,486","8,300,163","8,759,357",8,-9.7,3.2,5.5,4
Assumption,"502,251","460,475","485,503","457,269",53,-8.3,5.4,-5.8,46
Avoyelles,"920,443","902,852","888,729","827,300",39,-1.9,-1.6,-6.9,49
Beauregard,"1,158,750","1,243,997","1,162,765","1,177,814",32,7.4,-6.5,1.3,9
Bienville,"520,022","535,432","594,755","577,741",46,3.0,11.1,-2.9,35
Bossier,"5,424,200","5,161,974","5,403,743","5,398,850",12,-4.8,4.7,-0.1,20
Caddo,"13,234,570","12,532,871","13,019,705","13,128,753",5,-5.3,3.9,0.8,14
Calcasieu,"15,516,071","12,601,171","13,134,933","12,477,178",7,-18.8,4.2,-5.0,45
Caldwell,"196,949","189,454","189,316","182,052",60,-3.8,-0.1,-3.8,41
Cameron,"1,310,878","1,020,192","1,107,695","805,003",40,-22.2,8.6,-27.3,64
Catahoula,"179,492","182,219","180,073","161,120",62,1.5,-1.2,-10.5,58
Claiborne,"395,228","359,332","371,542","389,024",57,-9.1,3.4,4.7,6
Concordia,"580,443","566,186","569,339","548,431",47,-2.5,0.6,-3.7,40
De Soto,"2,630,900","2,342,941","2,340,049","2,065,912",23,-10.9,-0.1,-11.7,59
East Baton Rouge,"34,763,581","32,240,835","32,499,972","33,011,806",1,-7.3,0.8,1.6,8
East Carroll,"160,578","162,797","161,825","132,565",63,1.4,-0.6,-18.1,62
East Feliciana,"504,254","477,560","474,372","471,478",52,-5.3,-0.7,-0.6,23
Evangeline,"877,191","855,330","779,398","837,348",38,-2.5,-8.9,7.4,3
Franklin,"475,029","474,776","471,791","423,767",55,-0.1,-0.6,-10.2,56
Grant,"372,402","383,526","399,608","437,946",54,3.0,4.2,9.6,2
Iberia,"3,093,863","2,888,994","2,757,672","2,633,763",17,-6.6,-4.5,-4.5,43
Iberville,"2,621,503","2,479,355","2,328,243","2,184,870",22,-5.4,-6.1,-6.2,47
Jackson,"465,368","491,278","467,693","473,408",51,5.6,-4.8,1.2,12
Jefferson,"23,999,402","22,601,346","23,724,906","23,989,257",2,-5.8,5.0,1.1,13
Jefferson Davis,"846,667","845,565","790,992","772,006",42,-0.1,-6.5,-2.4,31
Lafayette,"14,400,378","13,832,850","14,250,880","14,294,888",4,-3.9,3.0,0.3,18
Lafourche,"4,012,084","3,835,654","3,765,723","3,781,568",15,-4.4,-1.8,0.4,17
LaSalle,"492,719","454,749","426,048","419,832",56,-7.7,-6.3,-1.5,27
Lincoln,"2,125,946","1,995,745","2,054,052","1,990,618",25,-6.1,2.9,-3.1,37
Livingston,"3,289,250","3,136,184","3,226,276","3,136,007",16,-4.7,2.9,-2.8,34
Madison,"373,613","343,678","356,017","304,358",58,-8.0,3.6,-14.5,61
Morehouse,"588,921","592,120","577,892","524,454",49,0.5,-2.4,-9.2,55
Natchitoches,"1,442,289","1,425,775","1,552,882","1,548,969",28,-1.1,8.9,-0.3,21
Orleans,"24,277,820","22,296,618","22,787,094","22,936,957",3,-8.2,2.2,0.7,15
Ouachita,"7,125,607","6,919,795","6,924,883","7,073,915",9,-2.9,0.1,2.2,7
Plaquemines,"3,051,850","2,591,466","2,449,120","2,248,924",21,-15.1,-5.5,-8.2,52
Pointe Coupee,"824,875","710,890","797,356","788,377",41,-13.8,12.2,-1.1,26
Rapides,"5,774,187","5,637,384","5,727,876","5,578,425",11,-2.4,1.6,-2.6,33
Red River,"677,286","619,217","681,786","621,549",45,-8.6,10.1,-8.8,54
Richland,"685,537","674,267","667,763","644,102",44,-1.6,-1.0,-3.5,38
Sabine,"826,596","806,091","913,579","960,989",36,-2.5,13.3,5.2,5
St. Bernard,"1,378,286","1,263,528","1,204,829","1,150,352",33,-8.3,-4.6,-4.5,44
St. Charles,"7,811,767","7,083,422","7,478,881","6,858,830",10,-9.3,5.6,-8.3,53
St. Helena,"208,471","189,233","197,155","190,146",59,-9.2,4.2,-3.6,39
St. James,"2,810,109","2,209,023","2,145,192","1,980,326",26,-21.4,-2.9,-7.7,51
St. John the Baptist,"3,496,173","2,610,512","2,606,424","2,337,058",19,-25.3,-0.2,-10.3,57
St. Landry,"2,459,571","2,358,368","2,363,324","2,266,361",20,-4.1,0.2,-4.1,42
St. Martin,"1,346,187","1,259,995","1,298,724","1,314,766",31,-6.4,3.1,1.2,11
St. Mary,"2,514,045","2,451,396","2,570,321","2,603,126",18,-2.5,4.9,1.3,10
St. Tammany,"12,586,003","12,160,269","12,741,717","12,632,480",6,-3.4,4.8,-0.9,24
Tangipahoa,"4,338,972","4,222,957","4,382,166","4,299,158",14,-2.7,3.8,-1.9,28
Tensas,"131,616","117,312","131,168","106,087",64,-10.9,11.8,-19.1,63
Terrebonne,"5,526,732","5,115,326","5,054,913","5,031,608",13,-7.4,-1.2,-0.5,22
Union,"489,274","457,339","469,123","517,397",50,-6.5,2.6,10.3,1
Vermilion,"1,446,203","1,392,073","1,414,952","1,319,736",30,-3.7,1.6,-6.7,48
Vernon,"2,043,261","2,025,884","2,090,348","2,044,156",24,-0.9,3.2,-2.2,30
Washington,"1,112,481","1,034,778","1,043,186","1,020,912",35,-7.0,0.8,-2.1,29
Webster,"1,177,231","1,129,437","1,144,715","1,115,465",34,-4.1,1.4,-2.6,32
West Baton Rouge,"2,021,535","1,747,321","1,846,126","1,707,766",27,-13.6,5.7,-7.5,50
West Carroll,"186,447","196,111","190,376","167,866",61,5.2,-2.9,-11.8,60
West Feliciana,"957,060","1,008,162","988,306","959,323",37,5.3,-2.0,-2.9,36
Winn,"455,688","482,766","527,798","531,077",48,5.9,9.3,0.6,16
,,,,,,,,,
Maine,"66,351,151","67,420,598","70,869,930","72,413,523",--,1.6,5.1,2.2,--
Androscoggin,"4,811,181","5,018,298","5,044,783","4,975,728",5,4.3,0.5,-1.4,14
Aroostook,"2,574,766","2,606,029","2,599,922","2,633,769",7,1.2,-0.2,1.3,9
Cumberland,"22,603,000","23,298,915","24,945,935","25,706,204",1,3.1,7.1,3.0,4
Franklin,"1,107,223","1,119,554","1,124,108","1,085,180",14,1.1,0.4,-3.5,16
Hancock,"2,615,758","2,452,614","2,615,896","2,694,161",6,-6.2,6.7,3.0,5
Kennebec,"5,810,662","5,854,307","6,204,142","6,281,131",4,0.8,6.0,1.2,10
Knox,"1,923,446","1,855,140","1,953,915","2,010,661",9,-3.6,5.3,2.9,6
Lincoln,"1,257,829","1,185,202","1,273,690","1,333,169",13,-5.8,7.5,4.7,2
Oxford,"1,720,119","1,769,583","1,797,210","1,800,279",10,2.9,1.6,0.2,12
Penobscot,"6,762,485","6,783,030","7,003,554","7,141,018",3,0.3,3.3,2.0,8
Piscataquis,"545,062","607,670","605,552","602,110",16,11.5,-0.3,-0.6,13
Sagadahoc,"1,721,282","1,817,756","2,174,938","2,369,611",8,5.6,19.6,9.0,1
Somerset,"1,680,232","1,764,016","1,747,410","1,757,724",11,5.0,-0.9,0.6,11
Waldo,"1,439,870","1,416,690","1,477,812","1,536,413",12,-1.6,4.3,4.0,3
Washington,"1,066,649","1,094,157","1,094,552","1,070,328",15,2.6,0.0,-2.2,15
York,"8,709,944","8,780,741","9,224,713","9,451,612",2,0.8,5.1,2.5,7
,,,,,,,,,
Maryland,"402,346,194","388,532,286","405,905,303","412,282,552",--,-3.4,4.5,1.6,--
Allegany,"3,066,344","2,857,439","2,830,897","2,708,986",17,-6.8,-0.9,-4.3,23
Anne Arundel,"50,256,244","48,568,269","51,162,190","51,814,364",3,-3.4,5.3,1.3,9
Baltimore,"54,773,560","51,971,826","54,031,025","54,869,055",2,-5.1,4.0,1.6,8
Calvert,"4,449,274","4,510,387","4,162,937","4,172,196",15,1.4,-7.7,0.2,16
Caroline,"1,193,522","1,064,628","1,210,357","1,247,049",21,-10.8,13.7,3.0,5
Carroll,"6,460,183","6,076,395","6,231,087","6,285,057",11,-5.9,2.5,0.9,12
Cecil,"4,811,135","4,754,756","4,896,274","5,055,208",14,-1.2,3.0,3.2,3
Charles,"6,031,473","5,739,215","5,874,961","5,884,327",12,-4.8,2.4,0.2,17
Dorchester,"1,291,430","1,274,627","1,376,580","1,392,173",20,-1.3,8.0,1.1,11
Frederick,"14,085,158","13,459,401","14,265,785","14,379,015",7,-4.4,6.0,0.8,13
Garrett,"1,290,622","1,269,546","1,328,812","1,244,145",22,-1.6,4.7,-6.4,24
Harford,"13,286,042","12,986,893","13,427,074","13,275,589",8,-2.3,3.4,-1.1,18
Howard,"27,549,464","27,325,666","28,968,473","28,625,939",6,-0.8,6.0,-1.2,19
Kent,"962,273","913,575","931,898","896,847",24,-5.1,2.0,-3.8,21
Montgomery,"91,753,090","89,002,356","92,605,105","93,746,007",1,-3.0,4.0,1.2,10
Prince George's,"46,392,722","44,430,794","46,256,758","47,313,611",5,-4.2,4.1,2.3,7
Queen Anne's,"1,905,006","1,754,622","2,050,122","1,970,524",19,-7.9,16.8,-3.9,22
St. Mary's,"7,535,678","7,859,546","7,844,387","7,671,853",9,4.3,-0.2,-2.2,20
Somerset,"817,971","792,931","847,677","981,077",23,-3.1,6.9,15.7,1
Talbot,"2,060,247","1,891,937","1,978,278","1,993,065",18,-8.2,4.6,0.7,14
Washington,"7,064,113","6,609,758","7,106,593","7,150,408",10,-6.4,7.5,0.6,15
Wicomico,"5,024,676","4,903,031","5,278,008","5,439,581",13,-2.4,7.6,3.1,4
Worcester,"2,834,764","2,547,132","2,913,660","2,994,254",16,-10.1,14.4,2.8,6
Baltimore City,"47,452,079","45,985,408","48,360,542","51,194,064",4,-3.1,5.2,5.9,2
,,,,,,,,,
Massachusetts,"566,706,170","556,196,418","591,911,488","604,357,731",--,-1.9,6.4,2.1,--
Barnstable,"13,537,095","12,654,827","13,490,964","13,771,725",9,-6.5,6.6,2.1,3
Berkshire,"6,998,340","6,766,260","6,896,795","6,927,750",11,-3.3,1.9,0.4,10
Bristol,"26,645,826","25,819,946","27,449,005","27,281,600",6,-3.1,6.3,-0.6,13
Dukes,"1,469,628","1,407,779","1,445,253","1,453,109",13,-4.2,2.7,0.5,8
Essex,"46,020,521","43,992,053","46,565,610","47,094,918",4,-4.4,5.9,1.1,7
Franklin,"2,917,567","2,913,131","2,877,170","2,835,214",12,-0.2,-1.2,-1.5,14
Hampden,"22,784,592","22,263,246","23,241,880","23,213,480",8,-2.3,4.4,-0.1,12
Hampshire,"7,838,147","7,472,707","7,567,556","7,702,689",10,-4.7,1.3,1.8,5
Middlesex,"174,052,620","174,861,873","188,703,914","190,978,324",1,0.5,7.9,1.2,6
Nantucket,"1,351,160","1,251,479","1,378,384","1,384,714",14,-7.4,10.1,0.5,9
Norfolk,"54,657,040","52,754,957","55,422,410","57,045,702",3,-3.5,5.1,2.9,2
Plymouth,"26,619,396","25,051,382","26,633,983","26,619,904",7,-5.9,6.3,-0.1,11
Suffolk,"137,817,167","136,032,512","145,017,316","151,982,653",2,-1.3,6.6,4.8,1
Worcester,"44,035,944","43,083,909","45,449,132","46,308,136",5,-2.2,5.5,1.9,4
,,,,,,,,,
Michigan,"517,845,213","502,483,729","531,499,956","539,898,171",--,-3.0,5.8,1.6,--
Alcona,"221,851","218,075","227,555","233,463",78,-1.7,4.3,2.6,18
Alger,"248,962","235,281","249,845","252,795",76,-5.5,6.2,1.2,44
Allegan,"4,513,197","4,642,771","4,871,976","4,923,836",21,2.9,4.9,1.1,46
Alpena,"1,059,452","1,042,861","1,095,294","1,113,501",51,-1.6,5.0,1.7,35
Antrim,"603,708","567,794","618,396","643,281",60,-5.9,8.9,4.0,9
Arenac,"429,012","421,726","433,226","438,604",70,-1.7,2.7,1.2,40
Baraga,"277,087","266,945","283,702","287,701",74,-3.7,6.3,1.4,36
Barry,"1,519,347","1,481,855","1,536,818","1,529,010",35,-2.5,3.7,-0.5,64
Bay,"3,535,699","3,549,806","3,841,031","3,851,098",22,0.4,8.2,0.3,59
Benzie,"492,580","469,699","518,265","545,233",65,-4.6,10.3,5.2,4
Berrien,"7,329,099","7,508,467","7,479,801","7,380,206",12,2.4,-0.4,-1.3,70
Branch,"1,411,355","1,357,269","1,448,379","1,402,866",38,-3.8,6.7,-3.1,75
Calhoun,"6,411,827","6,372,022","6,912,586","6,984,617",13,-0.6,8.5,1.0,47
Cass,"1,119,323","1,065,345","1,106,068","1,227,885",45,-4.8,3.8,11.0,1
Charlevoix,"1,176,794","1,117,643","1,271,337","1,330,806",43,-5.0,13.8,4.7,6
Cheboygan,"626,483","581,940","647,997","652,297",59,-7.1,11.4,0.7,56
Chippewa,"1,131,912","1,064,691","1,141,584","1,178,825",49,-5.9,7.2,3.3,13
Clare,"1,040,688","1,108,704","1,123,732","1,134,928",50,6.5,1.4,1.0,48
Clinton,"2,163,457","2,162,088","2,331,054","2,378,667",27,-0.1,7.8,2.0,26
Crawford,"432,769","406,131","454,804","443,867",69,-6.2,12.0,-2.4,74
Delta,"1,243,926","1,189,587","1,237,653","1,186,844",47,-4.4,4.0,-4.1,79
Dickinson,"1,336,687","1,278,305","1,411,943","1,350,278",40,-4.4,10.5,-4.4,80
Eaton,"5,237,756","5,198,989","5,731,760","5,936,643",17,-0.7,10.2,3.6,11
Emmet,"1,756,825","1,671,235","1,873,065","1,922,925",30,-4.9,12.1,2.7,17
Genesee,"16,614,426","15,314,342","15,693,584","15,582,622",9,-7.8,2.5,-0.7,67
Gladwin,"497,494","483,385","469,078","476,949",68,-2.8,-3.0,1.7,34
Gogebic,"477,639","451,284","471,244","483,073",67,-5.5,4.4,2.5,20
Grand Traverse,"5,128,096","4,968,737","5,328,093","5,464,037",20,-3.1,7.2,2.6,19
Gratiot,"1,330,567","1,424,742","1,460,868","1,501,799",36,7.1,2.5,2.8,16
Hillsdale,"1,542,944","1,522,442","1,788,240","1,855,473",31,-1.3,17.5,3.8,10
Houghton,"1,111,661","1,062,026","1,149,367","1,184,480",48,-4.5,8.2,3.1,14
